COUNTRY,PROJECT,YEAR,AMOUNT,LENDER,BORROWER,SECTOR,SENSITIVE TERRITORY OVERLAP
Angola,Cazenga/Sambizanga Infrastructures Construction (1st disbursement),2011,$110M,CDB,Government,Government,None Known
Angola,"Cazenga/Sambizanga Infrastructures Construction (2nd disbursement, part 1)",2011,$55M,CDB,Government,Government,None Known
Angola,"Cazenga/Sambizanga Infrastructures Construction (2nd disbursement, part 2)",2012,$54M,CDB,Government,Government,None Known
Angola,Construction of 3000 Social Houses,2016,$37M,CDB,Government,Government,None Known
Angola,Cruzamento-Cassongue Road Rehabilitation,2016,$27M,CDB,Government,Transport,Within Critical Habitats
Angola,Cuanza-Sul EN100 Road Rehabilitation,2016,$31M,CDB,Government,Transport,"Within Critical Habitats
 Within National Protected Areas"
Angola,Cuanza-Sul EN120 Rehabilitation (Part 3),2016,$38M,CDB,Government,Transport,Within Critical Habitats
Angola,Cuanza-Sul EN120 Rehabilitation (Part 4),2016,$102M,CDB,Government,Transport,Within Critical Habitats
Angola,Cuanza-Sul EN120 Rehabilitation (Part 5),2016,$49M,CDB,Government,Transport,None Known
Angola,"Cuanza-Sul, EN100 Rehabilitation, Cabo Ledo-Lobito Road (Lot 4), Sumbe-Ponte do Rio Eval",2016,$31M,CDB,Government,Transport,Within Critical Habitats
Angola,"Cuanza-Sul, EN100 Road Rehabilitation, Cabo Ledo-Lobito Road (Lot 2), Ponte do Rio Longa-Ponte do Rio Keve",2016,$50M,CDB,Government,Transport,Within Critical Habitats
Angola,Cuimba Agro-Industrial Projects,2014,$112M,ExImBank,Government,"Agriculture, food",None Known
Angola,Cuito Airport Construction,2016,$26M,CDB,Government,Transport,None Known
Angola,E-Government Project 3,2009,$337M,ExImBank,Government,Telecom,None Known
Angola,E-Government Project 4,2011,$36M,ExImBank,Government,Telecom,None Known
Angola,Electrification Contract,2016,$51M,CDB,Government,Power,None Known
Angola,"Electrification Contract- 30,000 Household Connections (Cabinda City)",2016,$340M,CDB,Government,Power,Within Critical Habitats
Angola,"Electrification Contract-22,500 Home Connections (Lubango/Matla, Huila)",2016,$51M,CDB,Government,Power,None Known
Angola,"Electrification Contract-30,000 Home Connections (Luanda City)",2016,$574M,CDB,Government,Power,None Known
Angola,EN230 Rehabilitation (between Viana and Catete International Airport),2016,$245M,CDB,Government,Transport,None Known
Angola,EN230 Rehabilitation(connection to Unidade Operativa Overpass),2016,$156M,CDB,Government,Transport,None Known
Angola,EN230 Road Project (Lot 1),2016,$53M,CDB,Government,Transport,Within Critical Habitats
Angola,EN230 Road Project (Lot 2),2016,$60M,CDB,Government,Transport,None Known
Angola,EN321 Rehabilitation,2016,$27M,CDB,Government,Transport,None Known
Angola,Fishing Boats Purchase,2011,$70M,ExImBank,Government,"Agriculture, food",None Known
Angola,Futungo de Belas Project (Phase I),2016,$31M,CDB,Government,Other construction,Within Critical Habitats
Angola,Guimba Farm,2014,$68M,ExImBank,Government,"Agriculture, food",None Known
Angola,"Headquarters of Government, Police Stations, and Warehouses in Cabinda (Phase 1)",2016,$40M,CDB,Government,Government,None Known
Angola,Huíla Road Rehabilitation (Phase I),2016,$46M,CDB,Government,Transport,None Known
Angola,Huíla Road Rehabilitation (Phase II),2016,$51M,CDB,Government,Transport,None Known
Angola,Irrigation Canal Construction (Phase I),2011,$49M,CDB,Government,Government,Within National Protected Areas
Angola,Irrigation Canal Construction (Phase II),2012,$34M,CDB,Government,Government,Within National Protected Areas
Angola,Lar do Patriota Basic Infrastructure (Phase II),2016,$50M,CDB,Government,Transport,Within Critical Habitats
Angola,Lar Patriota Infrastructure Construction,2012,$25M,CDB,Government,Transport,None Known
Angola,Lauca-Huambo Electricity System Construction,2016,$340M,CDB,Government,Power,None Known
Angola,Longa Farm,2012,$77M,CDB,Government,"Agriculture, food",None Known
Angola,Luanda Rehabilitation of EN100 (part 1),2016,$34M,CDB,Government,Transport,Within Critical Habitats
Angola,Luanda-Soyo Highway; Nzeto-Soyo section (Package 7),2011,$46M,ExImBank,Government,Transport,Within Critical Habitats
Angola,Luanda/Soyo Highway Construction (Bridge over M'Bridge River),2011,$53M,ExImBank,Government,Transport,Within Critical Habitats
Angola,Luanda/Soyo Highway Construction (infrastructure work for Nzeto/Soyo section),2011,$85M,ExImBank,Government,Transport,Within Critical Habitats
Angola,Luanda/Soyo Highway Construction (Package 5),2011,$46M,ExImBank,Government,Transport,Within Critical Habitats
Angola,Luanda/Soyo Highway Construction (Package 6),2011,$46M,ExImBank,Government,Transport,Within Critical Habitats
Angola,Lunda Sul and Norte- Dundo and Saurimo Water Systems,2008,$32M,CDB,Government,Government,None Known
Angola,Lunda-Sul Road Rehabilitation (Xinge-Lubalo Connection),2016,$48M,CDB,Government,Transport,None Known
Angola,Machine Purchases and Training (Tranche 1),2011,$33M,CDB,Government,"Agriculture, food",None Known
Angola,Machine Purchases and Training (Tranche 2),2011,$33M,ExImBank,Government,"Agriculture, food",None Known
Angola,Malange MT/BT Networks (Phase II),2008,$27M,ExImBank,Government,Power,None Known
Angola,Malanje River Dredging,2017,$28M,CDB,Government,Other construction,None Known
Angola,Malanje Road Rehabilitation,2016,$55M,CDB,Government,Transport,None Known
Angola,Malanje Youth House Construction,2017,$38M,CDB,Government,Government,None Known
Angola,Manquete Farm,2014,$86M,CDB,Government,"Agriculture, food",None Known
Angola,Marçal Water Distribution Centre Rehabilitation,2013,$54M,CDB,Government,Government,None Known
Angola,Ministry of Energy and Water Training Center & Database,2017,$36M,CDB,Government,Telecom,None Known
Angola,Moxico Roads Rehabilitation,2017,$235M,CDB,Government,Transport,None Known
Angola,Multisector projects,2017,$2.2B,CDB,Government,Mulit-sector/discretionary,None Known
Angola,N´Gola Kiluange Road Rehabilitation,2016,$26M,CDB,Government,Transport,Within Critical Habitats
Angola,National Geology Plan Project,2017,$65M,ExImBank,Government,Government,None Known
Angola,Nzeto-Soyo Road Construction,2015,$509M,ExImBank,Government,Transport,Within Critical Habitats
Angola,Pedras Negras Farm,2011,$117M,CDB,Government,"Agriculture, food",None Known
Angola,Railway Rolling Stock Purchase,2011,$86M,ExImBank,Government,Transport,None Known
Angola,Rehabilitation of Five Roads (Luanda Province),2016,$51M,CDB,Government,Transport,None Known
Angola,Reinforcement of Existing Water System 3 (Kikuxi),2016,$124M,CDB,Government,Government,None Known
Angola,Replacement of 1500 cars,2011,$25M,ExImBank,Government,Transport,None Known
Angola,Road Rehabilitation (Cuanza Norte),2016,$29M,CDB,Government,Transport,None Known
Angola,"Road Rehabilitation (Cuito, Bie)",2016,$29M,CDB,Government,Transport,None Known
Angola,Road Rehabilitation (Malanje),2016,$27M,CDB,Government,Transport,None Known
Angola,Road Rehabilitation (Malanje),2016,$25M,CDB,Government,Transport,None Known
Angola,Road Rehabilitation (Uige),2016,$50M,CDB,Government,Transport,Within Critical Habitats
Angola,Rua 12 de Julho Road Work (Sambizanga),2016,$46M,CDB,Government,Transport,None Known
Angola,Sanza Pombo Farm,2012,$129M,CDB,Government,"Agriculture, food",None Known
Angola,Saurimo's Airport Aerogare Construction,2010,$28M,ExImBank,Government,Transport,None Known
Angola,Sonangol Development,2014,$2.0B,CDB,Sonangol,"Extraction, pipelines",None Known
Angola,Sonangol Development,2011,$2.0B,CDB,Sonangol,"Extraction, pipelines",None Known
Angola,Sonangol Development,2012,$1000M,CDB,Sonangol Finance Ltd.,"Extraction, pipelines",None Known
Angola,Sonangol Development,2013,$2.5B,CDB,Sonangol,"Extraction, pipelines",None Known
Angola,Sonangol Recapitalization,2016,$10.0B,CDB,Government,"Extraction, pipelines",None Known
Angola,Soyo City River and Land Terminal Construction,2016,$60M,CDB,Government,Transport,Within Critical Habitats
Angola,Soyo-Kapary Transmission and Transformation Project,2013,$118M,ExImBank,Government,Power,None Known
Angola,Sumbe City infrastructure Lot 1 (Stabalizing Slopes and Relocation),2017,$158M,CDB,Government,Transport,None Known
Angola,Sumbe City Infrastructure Lot 2 (Drainage),2017,$106M,CDB,Government,Government,None Known
Angola,Sumbe City Infrastructure Lot 3 (Road Construction),2017,$112M,CDB,Government,Transport,None Known
Angola,Upgrading Luanda MT/BT Networks (Phase III),2008,$26M,ExImBank,Government,Power,None Known
Angola,Upgrading Luanda MT/BT Networks (Phase IV),2008,$144M,ExImBank,Government,Power,None Known
Angola,Upgrading MT/BT Networks - Lunda-Norte and Lunda-Sul (Dundo & Saurimo),2008,$46M,ExImBank,Government,Power,None Known
Angola,Water Supply System (Lunda-Norte and Lunda-Sul),2011,$25M,ExImBank,Government,Government,None Known
Angola,"Water Supply System Construction (Cuito, Bié)",2016,$39M,CDB,Government,Government,None Known
Angola,Water Supply System Construction (Luanda),2016,$51M,CDB,Government,Government,Within Critical Habitats
Angola,Water Supply System Construction (M'Banza Congo),2016,$30M,CDB,Government,Government,None Known
Angola,Water Supply System Construction (Malanje City),2016,$31M,CDB,Government,Government,None Known
Angola,"Water Supply System Construction (Muxaluando, Bengo)",2016,$41M,CDB,Government,Government,None Known
Angola,Water Supply System Construction- Part Two (Cabinda),2016,$76M,CDB,Government,Government,None Known
Angola,"Water Supply System Construction(Ecunha, Huambo)",2016,$33M,CDB,Government,Government,Within Critical Habitats
Angola,Water Supply System Part One Construction (Cabinda),2016,$76M,CDB,Government,Government,Within Critical Habitats
Angola,Water Supply Systems in Catete and Uíge Rehabilitation and Reinforcement (Phase II),2011,$30M,ExImBank,Government,Government,None Known
Angola,Water Supply Systems Rehabilitation,2011,$31M,ExImBank,Government,Government,None Known
Antigua & Barbuda,St John Port,2016,$90M,ExImBank,Government,Transport,None Known
Antigua & Barbuda,V.C Bird International Airport Terminal Project,2010,$38M,ExImBank,Government,Transport,None Known
Argentina,"Cauchari Solar Park (I, II and III)",2017,$332M,ExImBank,Government,Power,None Known
Argentina,Cóndor Cliff and La Barrancosa dams,2014,$2.5B,CDB,Government,Power,None Known
Argentina,Metro Line A rail car purchase,2014,$162M,ExImBank,Buenos Aires local government,Transport,None Known
Argentina,Rail cars for Roca Commuter Line,2019,$236M,CDB,Government,Transport,None Known
Argentina,Rehabilitation of Belgrano Cargas railway,2014,$2.1B,"CDB, ICBC",Government,Transport,"Within Indigenous Peoples' Lands
 Within Critical Habitats"
Argentina,Revamping Argentina's train system,2010,$10.0B,"CDB, others",Government,Transport,None Known
Argentina,San Martin freight railway upgrading,2018,$1.1B,ExImBank,Government,Transport,"Within Indigenous Peoples' Lands
 Within Critical Habitats"
Argentina,SME development,2017,$150M,CDB,BICE,Government,None Known
Argentina,"Trade finance: 20 high-speed trains, 200 passenger cars, service and parts",2010,$273M,"CDB, Citic",Government,Transport,None Known
Argentina,"Trade finance: wine, fruit, food, pharmaceuticals, machinery, also renewable energy projects (renewal of 2007 loan)",2010,$30M,CDB,BICE,Mulit-sector/discretionary,None Known
Argentina,Various Renewable Energy Projects; Renewal of 2007/2010 Loans,2012,$200M,CDB,Government,Power,None Known
Bahamas,Abaco infrastructure works: North Abaco Port and Little Abaco Bridge,2012,$41M,ExImBank,Government,Other construction,Within Critical Habitats
Bahamas,Nassau Airport Gateway Project,2011,$58M,ExImBank,Government,Transport,Within Critical Habitats
Bangladesh,3G Network System,2015,$211M,ExImBank,Government,Telecom,None Known
Bangladesh,Bangladesh fertilizer factory,2009,$326M,ExImBank,Bangladesh Chemical Industries Corporation,Manufacturing,None Known
Bangladesh,Dasherkandi Sewage Treatment Plant,2015,$273M,ExImBank,Government,Government,None Known
Bangladesh,Development of National Infra Network for Bangladesh Government Phase III,2014,$167M,ExImBank,Government,Telecom,None Known
Bangladesh,Dhaka-Chittagong railway,2014,$3.3B,ExImBank,Government,Transport,Within Critical Habitats
Bangladesh,Expansion and strengthening of power system network under DPDC area project,2019,$1.4B,ExImBank,Dhaka Power Distribution Company,Power,None Known
Bangladesh,ICT project,2016,$100M,ExImBank,Government,Telecom,None Known
Bangladesh,Karnaphuli River Bridge,2014,$705M,ExImBank,Government,Transport,None Known
Bangladesh,Kodda Power Plant,2013,$132M,ExImBank,Government,Power,None Known
Bangladesh,"Oil Tanker Mooring Platform, Underwater and Onshore Pipeline",2017,$694M,ExImBank,Government,"Extraction, pipelines",None Known
Bangladesh,Padma water treatment plant,2012,$291M,ExImBank,Government,Government,None Known
Bangladesh,Payra 1320 (2x660) MW Thermal Power Plant Project (Kalapara Phase I),2016,$1.6B,ExImBank,Bangladesh-China Power Company Limited,Power,None Known
Bangladesh,Pipeline Project to Carry Crude Oil,2015,$509M,ExImBank,Government,"Extraction, pipelines",None Known
Bangladesh,Procurement of Three Oil Tankers and Three Bulk Carriers,2015,$185M,ExImBank,Government,Transport,None Known
Bangladesh,Rajshahi Surface Water Treatment Plant Project,2014,$500M,ExImBank,Government,Government,None Known
Bangladesh,Single point mooring with double pipelines,2016,$542M,ExImBank,Bangladesh Petroleum Corporation,"Extraction, pipelines",Within Critical Habitats
Bangladesh,Tier-4 Data Center,2015,$154M,ExImBank,Government,Telecom,None Known
Barbados,Rehabilitation of Sam Lord’s Castle Hotel,2015,$170M,ExImBank,Barbados Tourism Investment (BTI),Other construction,None Known
Belarus,Berezov Combined Cycle Power Plant,2010,$378M,ExImBank,Government,Power,None Known
Belarus,China-Belarus Great Stone Industrial Park,2012,$3.0B,"CDB, ExImBank",Government,Other construction,None Known
Belarus,Electrification of Molodechno-Gudogay-State Border Line,2013,$76M,ExImBank,Government,Transport,None Known
Belarus,Electrification of the Gomel-Zhlobin-Osipovichi Section,2012,$81M,ExImBank,Government,Transport,Within National Protected Areas
Belarus,Electrification of the Zhlobin - Kalinkovichi Section,2012,$64M,ExImBank,Government,Transport,Within National Protected Areas
Belarus,M5 Upgrade (Bobruysk - Zhlobin),2012,$322M,ExImBank,Government,Transport,None Known
Belarus,Minsk-Severnaya Substation (Renovation),2015,$48M,ExImBank,Government,Power,None Known
Belarus,Reconstruction of the Zhlobin-Gomel section of M-5/E 271 Minsk-Gomel highway,2011,$340M,ExImBank,Government,Transport,None Known
Belarus,Revamping Minsk CHP Plant No. 5,2008,$260M,CDB,Government,Power,None Known
Belarus,Satellite communication system,2011,$282M,ExImBank,Government,Telecom,None Known
Belarus,Slavkali Potash mine,2016,$1.4B,CDB,Belarusbank,"Extraction, pipelines",None Known
Belarus,Vitebsk Hydropower Plant,2011,$189M,CDB,Government,Power,None Known
Benin,4G Telecommunications Infrastructure Construction,2015,$66M,ExImBank,Government,Telecom,"Within Indigenous Peoples' Lands
 Within National Protected Areas"
Benin,Adjarala Hydropower Project,2015,$229M,ExImBank,Government,Power,None Known
Benin,Akassato-Bohicon Road Project (Lot 3),2013,$132M,ExImBank,Government,Transport,None Known
Benin,Cotonou Administrative Towers Construction,2010,$32M,ExImBank,Government,Other construction,None Known
Bolivia,Citizen security project,2016,$53M,ExImBank,Government,Government,None Known
Bolivia,Drilling Rig Export,2009,$60M,ExImBank,Government,"Extraction, pipelines",None Known
Bolivia,El Espino - Charagua - Boyuibe highway,2015,$253M,ExImBank,Government,Transport,"Within Indigenous Peoples' Lands
 Within Critical Habitats
 Within National Protected Areas"
Bolivia,El Mutun steel project,2016,$396M,ExImBank,Government,Other construction,Within Critical Habitats
Bolivia,El Sillar highway,2015,$426M,ExImBank,Government,Transport,"Within Critical Habitats
 Within National Protected Areas"
Bolivia,Rositas Hydroelectric Power Plant,2016,$1000M,ExImBank,ENDE,Power,"Within Critical Habitats
 Within National Protected Areas"
Bolivia,Rurrenabaque-Riberalta roadway,2015,$600M,ExImBank,Government,Transport,"Within Indigenous Peoples' Lands
 Within Critical Habitats
 Within National Protected Areas"
Bolivia,Trade support: Chinese buses,2012,$100M,ExImBank,Government,Transport,None Known
Bolivia,Trade support: Chinese helicopters,2011,$300M,CDB,Government,Transport,None Known
Bolivia,Trade support: Chinese satellite,2010,$251M,CDB,Government,Telecom,None Known
Bosnia & Herzegovina,Tuzla 7 Lignite Power Plant,2011,$882M,ExImBank,Elektroprivreda BiH,Power,None Known
Brazil,"10-Year Oil Supply Plan (10Mt/Year), ""Oil for Loan""",2009,$7.0B,CDB,Petrobras,"Extraction, pipelines",None Known
Brazil,"Bilateral cooperation agreement, 1st tranche",2014,$3.0B,CDB,Petrobras,"Extraction, pipelines",None Known
Brazil,Oil Exploration,2015,$1.5B,CDB,"Petrobras, Netherland sub-company","Extraction, pipelines",None Known
Brazil,Oil Export,2015,$3.5B,CDB,Petrobras,"Extraction, pipelines",None Known
Brazil,"Preferential Supply Contract with Unipec Asia Company, Loan Disbursed Dec 2017-Jan 2018",2017,$5.0B,CDB,Petrobras,"Extraction, pipelines",None Known
Brazil,Presidente Médici Candiota Power Station (Third Expansion),2008,$356M,CDB,Government,Power,Within Critical Habitats
Brazil,Soy processing industrial line,2015,$1.2B,CDB,Government,"Agriculture, food",None Known
Brazil,"Supply Contract to CNOOC, Zhenhua and CNPC",2016,$5.0B,CDB,Petrobras,"Extraction, pipelines",None Known
Brazil,Trade support,2017,$300M,ExImBank,Bank of Brazil,Mulit-sector/discretionary,None Known
Brazil,Trade support: 40 E-195 aircrafts,2015,$1.3B,ExImBank,BNDES,Transport,None Known
Cambodia,115kV Transmission Line and Substation from Phnom Penh to Bavet Project,2009,$475M,ExImBank,Electricite Du Cambodge,Power,None Known
Cambodia,2015 Loop network in southwest regions,2015,$90M,ExImBank,Government,Power,None Known
Cambodia,2017 Loop network in southwest regions and the rest of eastern regions,2017,$180M,ExImBank,Government,Power,None Known
Cambodia,230kV Power Transmission Project Phase II for Cambodian National Grid,2017,$123M,ExImBank,Government,Power,None Known
Cambodia,5th Cambodia-China Friendship (New Chroy Changvar) Bridge,2011,$28M,ExImBank,Government,Transport,None Known
Cambodia,Cambodian National Road No. 58 Project,2014,$120M,ExImBank,Government,Transport,"Within Indigenous Peoples' Lands
 Within Critical Habitats
 Within National Protected Areas"
Cambodia,Chroy Changvar-Thnal Keng Section - National Road 6 (Widening),2011,$70M,ExImBank,Government,Transport,None Known
Cambodia,Construction of National Road 8.1 and 8.2,2009,$15M,ExImBank,Government,Transport,Within Critical Habitats
Cambodia,Construction of National Road No 59,2011,$79M,ExImBank,Government,Transport,"Within Indigenous Peoples' Lands
 Within Critical Habitats"
Cambodia,Construction of national road No. 214,2012,$113M,ExImBank,Government,Transport,"Within Indigenous Peoples' Lands
 Within Critical Habitats
 Within National Protected Areas"
Cambodia,Construction of national road No. 44,2013,$78M,ExImBank,Government,Transport,"Within Indigenous Peoples' Lands
 Within Critical Habitats
 Within National Protected Areas"
Cambodia,Expansion of Cambodia National Road No. 5,2012,$57M,ExImBank,Government,Transport,Within Indigenous Peoples' Lands
Cambodia,Expansion of National Road No. 51,2017,$41M,ExImBank,Government,Transport,Within Critical Habitats
Cambodia,Expansion of National Road No. 6,2011,$70M,ExImBank,Government,Transport,"Within Indigenous Peoples' Lands
 Within Critical Habitats"
Cambodia,Extension of Cambodia National Road No. 76,2012,$89M,ExImBank,Government,Transport,"Within Indigenous Peoples' Lands
 Within Critical Habitats
 Within National Protected Areas"
Cambodia,Kirirom III Hydropower Plant,2008,$47M,ExImBank,Government,Power,"Within Critical Habitats
 Within National Protected Areas"
Cambodia,Lower Stung Russey Chrum/Orussei Hydropower Project,2013,$412M,ExImBank,Government,Power,"Within Indigenous Peoples' Lands
 Within Critical Habitats
 Within National Protected Areas"
Cambodia,National Road No.3 Construction Project from Phnom Penh (Chom Chao)-Bek Kus-Kampot Town,2018,$215M,ExImBank,Government,Transport,Within Critical Habitats
Cambodia,Phnom Penh Loop Line Phase 2,2013,$76M,ExImBank,Government,Power,Within Critical Habitats
Cambodia,Rehabilitation of Cambodia National Road No.62,2010,$54M,ExImBank,Government,Transport,"Within Indigenous Peoples' Lands
 Within Critical Habitats
 Within National Protected Areas"
Cambodia,Rehabilitation of National Road 62 & National Road 210,2008,$58M,ExImBank,Government,Transport,"Within Indigenous Peoples' Lands
 Within Critical Habitats
 Within National Protected Areas"
Cambodia,Rehabilitation Project of the National Road No 57B,2009,$92M,ExImBank,Government,Transport,Within Critical Habitats
Cambodia,Rural Power Grid Extension Project Phase 1,2009,$54M,ExImBank,Government,Power,None Known
Cambodia,Rural Power Grid Extension Project Phase 2,2014,$90M,ExImBank,Government,Power,None Known
Cambodia,Rural Power Grid Extension Project Phase 3 and 4,2014,$90M,ExImBank,Government,Power,None Known
Cambodia,Rural Power Grid Extension Project Phase 5 and 6,2016,$100M,ExImBank,Government,Power,None Known
Cambodia,"Siem Reap New International Airport, Siem Reap",2013,$880M,"CDB, ExImBank",Government,Transport,None Known
Cambodia,Staung River Basin Water Resources Development Project Phase I,2013,$330M,ExImBank,Government,Government,None Known
Cambodia,Stung Tatay Hydropower Project Main Project,2010,$540M,ExImBank,Government,Power,"Within Indigenous Peoples' Lands
 Within Critical Habitats
 Within National Protected Areas"
Cambodia,The enlargement of Cambodian National Road No. 6,2013,$242M,ExImBank,Government,Transport,"Within Indigenous Peoples' Lands
 Within Critical Habitats"
Cambodia,Vaico Irrigation Project,2013,$100M,ExImBank,Government,Government,None Known
Cameroon,CRTV Rehabilitation,2016,$62M,ExImBank,Government,Telecom,None Known
Cameroon,CTPhone Construction,2009,$52M,ExImBank,Camtel,Telecom,None Known
Cameroon,Douala Water Supply Project (Phase II),2009,$97M,ExImBank,Government,Government,"Within Critical Habitats
 Within National Protected Areas"
Cameroon,E-government Trade Facilitation,2017,$33M,ExImBank,Government,Telecom,None Known
Cameroon,E-National Higher Education Network Project,2015,$155M,ExImBank,Government,Government,None Known
Cameroon,Electronic Postal Program,2011,$69M,ExImBank,Campost,Government,None Known
Cameroon,Emergency Telecommunication Network,2013,$156M,ExImBank,Government,Telecom,None Known
Cameroon,Kouekong Stadium Construction,2009,$28M,ExImBank,Government,Other construction,None Known
Cameroon,Kribi Port Project (Phase I),2011,$423M,ExImBank,Government,Transport,Within Indigenous Peoples' Lands
Cameroon,Kribi Port Project (Phase II); CL portion,2016,$150M,ExImBank,Government,Transport,None Known
Cameroon,Kribi Port Project (Phase II); PEBC portion,2016,$525M,ExImBank,Government,Transport,None Known
Cameroon,Kribi-Lolabe Expressway Construction (Phase I),2014,$386M,ExImBank,Government,Transport,"Within Indigenous Peoples' Lands
 Within Critical Habitats"
Cameroon,Limbe Stadium Construction,2009,$44M,ExImBank,Government,Other construction,Within Critical Habitats
Cameroon,MA60 Chinese Aircrafts Purchase,2013,$71M,ExImBank,Government,Transport,None Known
Cameroon,Mekin Hydropower Project (15MW),2009,$53M,ExImBank,Government,Power,Within Critical Habitats
Cameroon,Memve'ele Hydropower Project (211MW),2012,$541M,ExImBank,Government,Power,Within Critical Habitats
Cameroon,Memvélé Dam Hydropower Transmission Lines,2017,$142M,ExImBank,Government,Power,None Known
Cameroon,National Fibre Optic Backbone Expansion,2014,$83M,ExImBank,Government,Telecom,None Known
Cameroon,National Telecom Broadband Network Project (Phase II),2015,$328M,ExImBank,Camtel,Telecom,Within Indigenous Peoples' Lands
Cameroon,Navy Patrol Vessels Purchase (P108 and P109),2012,$330M,ExImBank,Government,Government,None Known
Cameroon,Potable Water Supply (Phase II),2018,$86M,ExImBank,Government,Government,None Known
Cameroon,Potable Water Supply Projects (Phase I),2013,$174M,ExImBank,Government,Government,None Known
Cameroon,Social Housing Construction,2011,$75M,ExImBank,Government,Government,None Known
Cameroon,South Atlantic Inter Link (SAIL) Project,2015,$85M,ExImBank,Government,Telecom,Within Critical Habitats
Cameroon,Yaounde Potable Water Supply,2015,$678M,ExImBank,Government,Government,Within Critical Habitats
Cameroon,Yaoundé-Douala Highway Construction (Phase I),2012,$483M,ExImBank,Government,Transport,Within Critical Habitats
Chad,N'Djamena 90kV Ring Transmission Line & N'Djamena - Djarmaya Refinery 60kv Transmission Line,2012,$130M,ExImBank,Government,Mulit-sector/discretionary,Within Indigenous Peoples' Lands
Chad,N'Djamena Oil Refinery Construction,2011,$330M,ExImBank,N'Djamena Refinery Company,Manufacturing,Within Indigenous Peoples' Lands
Comoros,Telecommunications Infrastructure Construction,2010,$32M,ExImBank,Government,Telecom,None Known
Democratic Republic of Congo,220kV Substation (Kinsuka and Associated Distribution Networks),2018,$299M,ExImBank,Government,Power,None Known
Democratic Republic of Congo,Avenue Nzolana Rehabilitation and Anti-Erosion Control,2016,$39M,ExImBank,Government,Transport,None Known
Democratic Republic of Congo,Beni-Luna Road Refurbishment (Phase I),2008,$58M,ExImBank,Government,Transport,"Within Indigenous Peoples' Lands
 Within Critical Habitats
 Within National Protected Areas"
Democratic Republic of Congo,Boulevards Triomphale et Sendwe Refurbishment (Phase I),2008,$29M,ExImBank,Government,Transport,None Known
Democratic Republic of Congo,Busanga Hydropower Project,2015,$165M,ExImBank,Sinohydro & CREC (75%),Power,Within Critical Habitats
Democratic Republic of Congo,Eastern Butangbo Road Construction (Phase II),2010,$26M,ExImBank,Government,Transport,None Known
Democratic Republic of Congo,Fiber-Optic Cables Project (Phase I),2008,$36M,ExImBank,Government,Telecom,"Within Critical Habitats
 Within National Protected Areas"
Democratic Republic of Congo,Fiber-Optic Cables Project (Phase II),2012,$91M,ExImBank,Government,Telecom,None Known
Democratic Republic of Congo,Government Administrative Building Construction,2015,$36M,ExImBank,Government,Government,None Known
Democratic Republic of Congo,Government Internal Telecom Network Project,2011,$40M,ExImBank,Government,Telecom,None Known
Democratic Republic of Congo,Hopital du Cinquantenaire Construction (Phase 1),2008,$100M,ExImBank,Government,Government,None Known
Democratic Republic of Congo,Lwambo-Mitwaba-Manono-Kalemie Road Asphalting (Phase I),2013,$35M,ExImBank,Government,Transport,"Within Indigenous Peoples' Lands
 Within Critical Habitats
 Within National Protected Areas"
